款号,Midjourney提示词,包装提示词,Runway视频提示词
ND07-001,"Premium press-on nail design, SKU ND07-001, collection Cat Eye Aqua 海蓝猫眼系列, 短方 shape, 中长 length, main color 樱花粉, secondary color 冰蓝, technique 镜面粉, detail 星点, 高级感 aesthetics, for 派对, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND07-001, primary package color 米白, visual language from Cat Eye Aqua 海蓝猫眼系列, include hook line: '镜面粉 finish with 星点, 高级感 vibe for 派对', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND07-001. Start with macro close-up of 镜面粉 detail, transition to hand movement in 派对 context, highlight 樱花粉 and 冰蓝, show packaging in 米白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 星点, 高级感 vibe for 派对"
ND07-002,"Premium press-on nail design, SKU ND07-002, collection Cat Eye Aqua 海蓝猫眼系列, 椭圆 shape, 短 length, main color 果冻橙, secondary color 珠光白, technique 立体滴胶, detail 金箔, 氛围感 aesthetics, for 婚礼, target user 白领, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND07-002, primary package color 银灰, visual language from Cat Eye Aqua 海蓝猫眼系列, include hook line: '立体滴胶 finish with 金箔, 氛围感 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND07-002. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 婚礼 context, highlight 果冻橙 and 珠光白, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 金箔, 氛围感 vibe for 婚礼"
ND07-003,"Premium press-on nail design, SKU ND07-003, collection Cat Eye Aqua 海蓝猫眼系列, 椭圆 shape, 中 length, main color 银铬, secondary color 亮银, technique 立体滴胶, detail 珍珠, 氛围感 aesthetics, for 婚礼, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND07-003, primary package color 海盐蓝, visual language from Cat Eye Aqua 海蓝猫眼系列, include hook line: '立体滴胶 finish with 珍珠, 氛围感 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND07-003. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 婚礼 context, highlight 银铬 and 亮银, show packaging in 海盐蓝, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 珍珠, 氛围感 vibe for 婚礼"
ND07-004,"Premium press-on nail design, SKU ND07-004, collection Cat Eye Aqua 海蓝猫眼系列, 椭圆 shape, 短 length, main color 豆沙粉, secondary color 雾灰, technique 法式描边, detail 金箔, 高级感 aesthetics, for 通勤, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND07-004, primary package color 海盐蓝, visual language from Cat Eye Aqua 海蓝猫眼系列, include hook line: '法式描边 finish with 金箔, 高级感 vibe for 通勤', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND07-004. Start with macro close-up of 法式描边 detail, transition to hand movement in 通勤 context, highlight 豆沙粉 and 雾灰, show packaging in 海盐蓝, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 法式描边 finish with 金箔, 高级感 vibe for 通勤"
ND07-005,"Premium press-on nail design, SKU ND07-005, collection Cat Eye Aqua 海蓝猫眼系列, 芭蕾 shape, 中 length, main color 樱花粉, secondary color 雾灰, technique 立体滴胶, detail 几何线条, 通勤 aesthetics, for 旅行, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND07-005, primary package color 淡粉, visual language from Cat Eye Aqua 海蓝猫眼系列, include hook line: '立体滴胶 finish with 几何线条, 通勤 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND07-005. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 旅行 context, highlight 樱花粉 and 雾灰, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 几何线条, 通勤 vibe for 旅行"
ND07-006,"Premium press-on nail design, SKU ND07-006, collection Cat Eye Aqua 海蓝猫眼系列, 杏仁 shape, 短 length, main color 奶茶裸, secondary color 冰蓝, technique 手绘花, detail 蝴蝶结, 通勤 aesthetics, for 约会, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND07-006, primary package color 珠光白, visual language from Cat Eye Aqua 海蓝猫眼系列, include hook line: '手绘花 finish with 蝴蝶结, 通勤 vibe for 约会', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND07-006. Start with macro close-up of 手绘花 detail, transition to hand movement in 约会 context, highlight 奶茶裸 and 冰蓝, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 手绘花 finish with 蝴蝶结, 通勤 vibe for 约会"
ND07-007,"Premium press-on nail design, SKU ND07-007, collection Cat Eye Aqua 海蓝猫眼系列, 短方 shape, 中长 length, main color 珍珠白, secondary color 透明, technique 珍珠贴, detail 水波纹, 通勤 aesthetics, for 通勤, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND07-007, primary package color 珠光白, visual language from Cat Eye Aqua 海蓝猫眼系列, include hook line: '珍珠贴 finish with 水波纹, 通勤 vibe for 通勤', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND07-007. Start with macro close-up of 珍珠贴 detail, transition to hand movement in 通勤 context, highlight 珍珠白 and 透明, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 珍珠贴 finish with 水波纹, 通勤 vibe for 通勤"
ND07-008,"Premium press-on nail design, SKU ND07-008, collection Cat Eye Aqua 海蓝猫眼系列, 椭圆 shape, 短 length, main color 银铬, secondary color 冰蓝, technique 立体滴胶, detail 蝴蝶结, 极简 aesthetics, for 日常, target user 白领, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND07-008, primary package color 银灰, visual language from Cat Eye Aqua 海蓝猫眼系列, include hook line: '立体滴胶 finish with 蝴蝶结, 极简 vibe for 日常', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND07-008. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 日常 context, highlight 银铬 and 冰蓝, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 蝴蝶结, 极简 vibe for 日常"
ND07-009,"Premium press-on nail design, SKU ND07-009, collection Cat Eye Aqua 海蓝猫眼系列, 芭蕾 shape, 短 length, main color 果冻橙, secondary color 浅粉, technique 立体滴胶, detail 碎钻, 轻奢 aesthetics, for 拍照, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND07-009, primary package color 米白, visual language from Cat Eye Aqua 海蓝猫眼系列, include hook line: '立体滴胶 finish with 碎钻, 轻奢 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND07-009. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 拍照 context, highlight 果冻橙 and 浅粉, show packaging in 米白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 碎钻, 轻奢 vibe for 拍照"
ND07-010,"Premium press-on nail design, SKU ND07-010, collection Cat Eye Aqua 海蓝猫眼系列, 杏仁 shape, 短 length, main color 樱花粉, secondary color 浅粉, technique 贝壳片, detail 星点, 轻奢 aesthetics, for 婚礼, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND07-010, primary package color 珠光白, visual language from Cat Eye Aqua 海蓝猫眼系列, include hook line: '贝壳片 finish with 星点, 轻奢 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND07-010. Start with macro close-up of 贝壳片 detail, transition to hand movement in 婚礼 context, highlight 樱花粉 and 浅粉, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 贝壳片 finish with 星点, 轻奢 vibe for 婚礼"
ND08-001,"Premium press-on nail design, SKU ND08-001, collection Burgundy Night 酒红夜色系列, 芭蕾 shape, 短 length, main color 果冻橙, secondary color 香槟金, technique 镜面粉, detail 几何线条, 高级感 aesthetics, for 日常, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND08-001, primary package color 浅紫, visual language from Burgundy Night 酒红夜色系列, include hook line: '镜面粉 finish with 几何线条, 高级感 vibe for 日常', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND08-001. Start with macro close-up of 镜面粉 detail, transition to hand movement in 日常 context, highlight 果冻橙 and 香槟金, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 几何线条, 高级感 vibe for 日常"
ND08-002,"Premium press-on nail design, SKU ND08-002, collection Burgundy Night 酒红夜色系列, 杏仁 shape, 短 length, main color 薰衣草紫, secondary color 冰蓝, technique 贝壳片, detail 爱心, 氛围感 aesthetics, for 旅行, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND08-002, primary package color 浅紫, visual language from Burgundy Night 酒红夜色系列, include hook line: '贝壳片 finish with 爱心, 氛围感 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND08-002. Start with macro close-up of 贝壳片 detail, transition to hand movement in 旅行 context, highlight 薰衣草紫 and 冰蓝, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 贝壳片 finish with 爱心, 氛围感 vibe for 旅行"
ND08-003,"Premium press-on nail design, SKU ND08-003, collection Burgundy Night 酒红夜色系列, 杏仁 shape, 中 length, main color 豆沙粉, secondary color 浅粉, technique 珍珠贴, detail 碎钻, 极简 aesthetics, for 派对, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND08-003, primary package color 银灰, visual language from Burgundy Night 酒红夜色系列, include hook line: '珍珠贴 finish with 碎钻, 极简 vibe for 派对', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND08-003. Start with macro close-up of 珍珠贴 detail, transition to hand movement in 派对 context, highlight 豆沙粉 and 浅粉, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 珍珠贴 finish with 碎钻, 极简 vibe for 派对"
ND08-004,"Premium press-on nail design, SKU ND08-004, collection Burgundy Night 酒红夜色系列, 方圆 shape, 短 length, main color 银铬, secondary color 雾灰, technique 贝壳片, detail 珍珠, 氛围感 aesthetics, for 日常, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND08-004, primary package color 海盐蓝, visual language from Burgundy Night 酒红夜色系列, include hook line: '贝壳片 finish with 珍珠, 氛围感 vibe for 日常', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND08-004. Start with macro close-up of 贝壳片 detail, transition to hand movement in 日常 context, highlight 银铬 and 雾灰, show packaging in 海盐蓝, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 贝壳片 finish with 珍珠, 氛围感 vibe for 日常"
ND08-005,"Premium press-on nail design, SKU ND08-005, collection Burgundy Night 酒红夜色系列, 方圆 shape, 中 length, main color 果冻橙, secondary color 冰蓝, technique 贝壳片, detail 蝴蝶结, 氛围感 aesthetics, for 旅行, target user 白领, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND08-005, primary package color 珠光白, visual language from Burgundy Night 酒红夜色系列, include hook line: '贝壳片 finish with 蝴蝶结, 氛围感 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND08-005. Start with macro close-up of 贝壳片 detail, transition to hand movement in 旅行 context, highlight 果冻橙 and 冰蓝, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 贝壳片 finish with 蝴蝶结, 氛围感 vibe for 旅行"
ND08-006,"Premium press-on nail design, SKU ND08-006, collection Burgundy Night 酒红夜色系列, 短方 shape, 中长 length, main color 果冻橙, secondary color 香槟金, technique 镜面粉, detail 星点, 轻奢 aesthetics, for 婚礼, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND08-006, primary package color 淡粉, visual language from Burgundy Night 酒红夜色系列, include hook line: '镜面粉 finish with 星点, 轻奢 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND08-006. Start with macro close-up of 镜面粉 detail, transition to hand movement in 婚礼 context, highlight 果冻橙 and 香槟金, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 星点, 轻奢 vibe for 婚礼"
ND08-007,"Premium press-on nail design, SKU ND08-007, collection Burgundy Night 酒红夜色系列, 方圆 shape, 中长 length, main color 奶油白, secondary color 浅粉, technique 珍珠贴, detail 爱心, 极简 aesthetics, for 婚礼, target user 白领, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND08-007, primary package color 淡粉, visual language from Burgundy Night 酒红夜色系列, include hook line: '珍珠贴 finish with 爱心, 极简 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND08-007. Start with macro close-up of 珍珠贴 detail, transition to hand movement in 婚礼 context, highlight 奶油白 and 浅粉, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 珍珠贴 finish with 爱心, 极简 vibe for 婚礼"
ND08-008,"Premium press-on nail design, SKU ND08-008, collection Burgundy Night 酒红夜色系列, 方圆 shape, 中长 length, main color 珍珠白, secondary color 冰蓝, technique 手绘花, detail 爱心, 极简 aesthetics, for 旅行, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND08-008, primary package color 浅紫, visual language from Burgundy Night 酒红夜色系列, include hook line: '手绘花 finish with 爱心, 极简 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND08-008. Start with macro close-up of 手绘花 detail, transition to hand movement in 旅行 context, highlight 珍珠白 and 冰蓝, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 手绘花 finish with 爱心, 极简 vibe for 旅行"
ND08-009,"Premium press-on nail design, SKU ND08-009, collection Burgundy Night 酒红夜色系列, 椭圆 shape, 短 length, main color 海盐蓝, secondary color 玫瑰金, technique 猫眼, detail 星点, 轻奢 aesthetics, for 婚礼, target user 白领, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND08-009, primary package color 珠光白, visual language from Burgundy Night 酒红夜色系列, include hook line: '猫眼 finish with 星点, 轻奢 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND08-009. Start with macro close-up of 猫眼 detail, transition to hand movement in 婚礼 context, highlight 海盐蓝 and 玫瑰金, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 猫眼 finish with 星点, 轻奢 vibe for 婚礼"
ND08-010,"Premium press-on nail design, SKU ND08-010, collection Burgundy Night 酒红夜色系列, 杏仁 shape, 中长 length, main color 奶油白, secondary color 珠光白, technique 渐变, detail 爱心, 高级感 aesthetics, for 日常, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND08-010, primary package color 米白, visual language from Burgundy Night 酒红夜色系列, include hook line: '渐变 finish with 爱心, 高级感 vibe for 日常', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND08-010. Start with macro close-up of 渐变 detail, transition to hand movement in 日常 context, highlight 奶油白 and 珠光白, show packaging in 米白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 渐变 finish with 爱心, 高级感 vibe for 日常"
ND09-001,"Premium press-on nail design, SKU ND09-001, collection Pink Party 粉色派对系列, 短方 shape, 短 length, main color 樱花粉, secondary color 亮银, technique 手绘花, detail 碎钻, 通勤 aesthetics, for 派对, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND09-001, primary package color 珠光白, visual language from Pink Party 粉色派对系列, include hook line: '手绘花 finish with 碎钻, 通勤 vibe for 派对', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND09-001. Start with macro close-up of 手绘花 detail, transition to hand movement in 派对 context, highlight 樱花粉 and 亮银, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 手绘花 finish with 碎钻, 通勤 vibe for 派对"
ND09-002,"Premium press-on nail design, SKU ND09-002, collection Pink Party 粉色派对系列, 方圆 shape, 中长 length, main color 珍珠白, secondary color 浅粉, technique 贝壳片, detail 碎钻, 高级感 aesthetics, for 拍照, target user 白领, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND09-002, primary package color 珠光白, visual language from Pink Party 粉色派对系列, include hook line: '贝壳片 finish with 碎钻, 高级感 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND09-002. Start with macro close-up of 贝壳片 detail, transition to hand movement in 拍照 context, highlight 珍珠白 and 浅粉, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 贝壳片 finish with 碎钻, 高级感 vibe for 拍照"
ND09-003,"Premium press-on nail design, SKU ND09-003, collection Pink Party 粉色派对系列, 短方 shape, 中 length, main color 果冻橙, secondary color 透明, technique 贝壳片, detail 碎钻, 轻奢 aesthetics, for 派对, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND09-003, primary package color 浅紫, visual language from Pink Party 粉色派对系列, include hook line: '贝壳片 finish with 碎钻, 轻奢 vibe for 派对', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND09-003. Start with macro close-up of 贝壳片 detail, transition to hand movement in 派对 context, highlight 果冻橙 and 透明, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 贝壳片 finish with 碎钻, 轻奢 vibe for 派对"
ND09-004,"Premium press-on nail design, SKU ND09-004, collection Pink Party 粉色派对系列, 方圆 shape, 中 length, main color 酒红, secondary color 雾灰, technique 渐变, detail 爱心, 极简 aesthetics, for 旅行, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND09-004, primary package color 银灰, visual language from Pink Party 粉色派对系列, include hook line: '渐变 finish with 爱心, 极简 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND09-004. Start with macro close-up of 渐变 detail, transition to hand movement in 旅行 context, highlight 酒红 and 雾灰, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 渐变 finish with 爱心, 极简 vibe for 旅行"
ND09-005,"Premium press-on nail design, SKU ND09-005, collection Pink Party 粉色派对系列, 方圆 shape, 中 length, main color 珍珠白, secondary color 珠光白, technique 渐变, detail 珍珠, 通勤 aesthetics, for 约会, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND09-005, primary package color 浅紫, visual language from Pink Party 粉色派对系列, include hook line: '渐变 finish with 珍珠, 通勤 vibe for 约会', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND09-005. Start with macro close-up of 渐变 detail, transition to hand movement in 约会 context, highlight 珍珠白 and 珠光白, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 渐变 finish with 珍珠, 通勤 vibe for 约会"
ND09-006,"Premium press-on nail design, SKU ND09-006, collection Pink Party 粉色派对系列, 方圆 shape, 中长 length, main color 樱花粉, secondary color 雾灰, technique 贝壳片, detail 蝴蝶结, 氛围感 aesthetics, for 通勤, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND09-006, primary package color 淡粉, visual language from Pink Party 粉色派对系列, include hook line: '贝壳片 finish with 蝴蝶结, 氛围感 vibe for 通勤', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND09-006. Start with macro close-up of 贝壳片 detail, transition to hand movement in 通勤 context, highlight 樱花粉 and 雾灰, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 贝壳片 finish with 蝴蝶结, 氛围感 vibe for 通勤"
ND09-007,"Premium press-on nail design, SKU ND09-007, collection Pink Party 粉色派对系列, 椭圆 shape, 中 length, main color 银铬, secondary color 亮银, technique 渐变, detail 水波纹, 氛围感 aesthetics, for 派对, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND09-007, primary package color 珠光白, visual language from Pink Party 粉色派对系列, include hook line: '渐变 finish with 水波纹, 氛围感 vibe for 派对', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND09-007. Start with macro close-up of 渐变 detail, transition to hand movement in 派对 context, highlight 银铬 and 亮银, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 渐变 finish with 水波纹, 氛围感 vibe for 派对"
ND09-008,"Premium press-on nail design, SKU ND09-008, collection Pink Party 粉色派对系列, 椭圆 shape, 短 length, main color 樱花粉, secondary color 冰蓝, technique 法式描边, detail 金箔, 甜美 aesthetics, for 拍照, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND09-008, primary package color 珠光白, visual language from Pink Party 粉色派对系列, include hook line: '法式描边 finish with 金箔, 甜美 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND09-008. Start with macro close-up of 法式描边 detail, transition to hand movement in 拍照 context, highlight 樱花粉 and 冰蓝, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 法式描边 finish with 金箔, 甜美 vibe for 拍照"
ND09-009,"Premium press-on nail design, SKU ND09-009, collection Pink Party 粉色派对系列, 芭蕾 shape, 短 length, main color 樱花粉, secondary color 亮银, technique 珍珠贴, detail 珍珠, 轻奢 aesthetics, for 约会, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND09-009, primary package color 珠光白, visual language from Pink Party 粉色派对系列, include hook line: '珍珠贴 finish with 珍珠, 轻奢 vibe for 约会', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND09-009. Start with macro close-up of 珍珠贴 detail, transition to hand movement in 约会 context, highlight 樱花粉 and 亮银, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 珍珠贴 finish with 珍珠, 轻奢 vibe for 约会"
ND09-010,"Premium press-on nail design, SKU ND09-010, collection Pink Party 粉色派对系列, 短方 shape, 短 length, main color 奶油白, secondary color 浅粉, technique 镜面粉, detail 几何线条, 轻奢 aesthetics, for 婚礼, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND09-010, primary package color 浅紫, visual language from Pink Party 粉色派对系列, include hook line: '镜面粉 finish with 几何线条, 轻奢 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND09-010. Start with macro close-up of 镜面粉 detail, transition to hand movement in 婚礼 context, highlight 奶油白 and 浅粉, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 几何线条, 轻奢 vibe for 婚礼"
